質問,項目1,項目2,項目3,項目4,項目5,項目6,項目7,項目8,項目9,項目10,項目11,項目12,項目13,項目14,項目15,項目16,項目17,項目18,項目19,項目20
ノクス,2,4,2,1,4,4,2,2,4,1,2,1,4,4,1,1,2,5,1,2
リオン,4,4,1,2,3,4,1,2,2,1,1,1,4,4,1,1,2,4,2,1
ろっ太,5,4,3,4,4,5,1,1,2,3,1,4,5,4,1,4,2,5,1,3
アルセロ,2,1,4,1,3,3,1,2,1,2,1,2,2,4,4,1,2,2,2,2
ユピテル,4,4,2,1,4,5,1,1,1,1,1,4,4,4,1,1,2,1,2,3
けんた,2,4,4,2,2,1,3,2,1,4,3,4,1,2,4,2,4,1,2,2
アメティス,5,4,2,2,4,5,1,1,1,2,1,4,4,4,2,1,2,3,1,1
ポラリス,4,5,1,1,4,5,1,1,4,1,2,1,2,4,1,2,1,4,1,2
ジッポ,5,2,4,2,1,1,4,2,1,2,2,1,1,2,1,1,2,4,2,2
マグ,4,3,2,1,4,5,1,2,4,1,1,1,4,5,1,1,2,4,3,3
コーダ,4,2,3,2,4,2,2,2,1,3,2,4,2,4,1,2,2,2,2,2
がじろー,2,4,3,4,2,4,2,1,1,2,1,3,2,4,2,3,2,1,2,3
ルドルフ,5,4,4,2,4,5,1,1,4,1,2,3,5,5,1,4,1,4,2,4
ネムス,5,2,4,2,2,2,3,1,1,3,2,4,2,1,4,1,3,2,2,2
茶々丸,5,5,2,1,5,5,1,1,4,1,1,2,4,5,1,2,1,1,2,3
つゆまる,5,5,2,1,4,2,3,1,1,4,1,5,2,2,5,5,,2,1,2
おりーぶ,5,4,2,2,2,4,1,2,4,1,2,1,2,4,2,1,2,2,1,1
こだぎー,5,4,4,2,4,2,1,1,1,2,1,5,5,4,1,5,2,2,5,4
あぶく,2,4,4,1,4,2,5,4,5,4,4,4,2,1,5,2,4,1,4,3
いぬがみ犬汰,5,4,2,1,4,5,1,2,4,1,2,2,5,4,1,2,2,1,2,2
いずな,3,4,2,1,2,2,3,2,2,3,2,4,1,3,4,4,4,2,2,1
あお丸,5,1,4,2,1,1,5,5,5,2,5,1,1,1,5,1,1,1,1,1
